1,101,201,100.00,0.50,2024-10-01 12:00:00
2,102,202,200.00,0.45,2024-10-01 12:15:00
3,103,203,150.00,0.60,2024-10-01 12:30:00
4,115,204,300.00,0.55,2024-10-02 09:00:00
5,107,205,250.00,0.65,2024-10-02 09:30:00
6,108,206,350.00,0.70,2024-10-03 10:00:00
7,104,208,120.00,0.50,2024-10-03 11:00:00
8,112,215,400.00,0.75,2024-10-04 08:00:00
9,113,217,220.00,0.65,2024-10-04 09:15:00
10,111,225,500.00,0.80,2024-10-05 10:00:00
11,110,229,300.00,0.55,2024-10-05 10:30:00
12,109,207,600.00,0.85,2024-10-06 11:00:00
13,107,213,700.00,0.90,2024-10-06 11:30:00
14,103,223,800.00,0.80,2024-10-07 12:00:00
15,105,219,450.00,0.60,2024-10-07 12:30:00
16,109,224,125.00,0.55,2024-10-08 13:00:00
17,115,206,275.00,0.45,2024-10-08 13:15:00
18,113,204,375.00,0.50,2024-10-09 14:00:00
19,111,201,225.00,0.60,2024-10-09 14:30:00
20,106,210,275.00,0.65,2024-10-10 15:00:00
21,112,217,180.00,0.75,2024-10-10 15:30:00
22,110,215,300.00,0.85,2024-10-11 16:00:00
23,108,212,400.00,0.95,2024-10-11 16:30:00
24,106,224,230.00,0.65,2024-10-12 17:00:00
25,104,219,370.00,0.55,2024-10-12 17:30:00
26,102,209,150.00,0.70,2024-10-13 18:00:00
27,115,205,190.00,0.50,2024-10-13 18:15:00
28,109,223,310.00,0.80,2024-10-14 19:00:00
29,107,222,400.00,0.90,2024-10-14 19:30:00
30,114,220,220.00,0.75,2024-10-15 20:00:00
31,105,217,320.00,0.85,2024-10-15 20:30:00
32,103,208,450.00,0.95,2024-10-16 21:00:00
33,110,202,570.00,0.65,2024-10-16 21:30:00
34,113,206,630.00,0.60,2024-10-17 22:00:00
35,106,211,720.00,0.70,2024-10-17 22:30:00
36,107,217,400.00,0.55,2024-10-18 09:00:00
37,108,225,300.00,0.50,2024-10-18 09:30:00
38,106,222,500.00,0.80,2024-10-19 10:00:00
39,102,203,250.00,0.65,2024-10-19 10:30:00
40,111,201,300.00,0.75,2024-10-20 11:00:00
41,109,210,269.00,0.57,2024-10-18 17:39:48
42,106,222,145.00,0.75,2024-10-22 21:35:38
